Rank,Name,Role,Game Type,Map,Game Rank,KD,KDA,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Reyna,duelist,Overall,All,,1.13, 14.4  /  12.8  /  3.6 ,44.8%,9.9%,327,0.1%,"3,373,019"
2,Sage,sentinel,Overall,All,,0.9, 11.7  /  13  /  4.8 ,43.0%,9.4%,274,0.1%,"3,221,673"
3,Raze,duelist,Overall,All,,1.05, 13.6  /  13  /  3.7 ,42.9%,7.3%,352,0.1%,"2,487,298"
4,Jett,duelist,Overall,All,,1.03, 13.6  /  13.2  /  3.3 ,42.4%,9.0%,331,0.1%,"3,076,777"
5,Killjoy,sentinel,Overall,All,,1.01, 14.4  /  14.3  /  3.7 ,39.5%,4.4%,398,0.1%,"1,511,690"
6,Neon,duelist,Overall,All,,0.99, 13.9  /  14  /  3.5 ,39.1%,5.1%,404,0.1%,"1,726,658"
7,Phoenix,duelist,Overall,All,,0.97, 13.8  /  14.2  /  3.7 ,38.5%,6.1%,382,0.1%,"2,072,446"
8,Omen,controller,Overall,All,,1.0, 14.5  /  14.5  /  4.3 ,38.3%,5.0%,382,0.1%,"1,710,030"
9,Fade,initiator,Overall,All,,0.96, 14  /  14.6  /  4.7 ,37.9%,4.6%,396,0.1%,"1,555,294"
10,Yoru,duelist,Overall,All,,0.99, 14.2  /  14.3  /  3.6 ,37.3%,4.6%,406,0.1%,"1,580,893"
11,Viper,controller,Overall,All,,1.0, 15  /  15  /  4.2 ,36.6%,4.0%,444,0.1%,"1,350,169"
12,Sova,initiator,Overall,All,,0.92, 13.7  /  14.8  /  4.2 ,36.3%,5.3%,392,0.1%,"1,809,335"
13,Skye,initiator,Overall,All,,0.99, 15.1  /  15.2  /  5.1 ,35.5%,3.5%,483,0.1%,"1,208,479"
14,Chamber,sentinel,Overall,All,,1.04, 15.5  /  15  /  3.4 ,35.3%,3.8%,491,0.1%,"1,289,927"
15,Cypher,sentinel,Overall,All,,1.0, 15.5  /  15.5  /  4.2 ,34.5%,3.4%,482,0.1%,"1,170,107"
16,KAY/O,initiator,Overall,All,,0.96, 14.8  /  15.5  /  5.4 ,34.3%,3.7%,462,0.1%,"1,249,125"
17,Brimstone,controller,Overall,All,,0.93, 14.9  /  16.1  /  4.9 ,32.8%,4.1%,499,0.1%,"1,401,949"
18,Breach,initiator,Overall,All,,0.98, 16.6  /  16.9  /  4.6 ,30.5%,2.7%,639,0.0%,"911,022"
19,Harbor,controller,Overall,All,,0.99, 17.4  /  17.6  /  4.4 ,27.5%,2.1%,794,0.0%,"720,192"
20,Astra,controller,Overall,All,,1.08, 19.2  /  17.7  /  4.6 ,27.5%,2.0%,932,0.0%,"679,017"
1,Reyna,duelist,Overall,Split,,1.13, 14.5  /  12.8  /  3.7 ,45.7%,10.1%,306,0.1%,"448,914"
2,Raze,duelist,Overall,Split,,1.07, 13.8  /  12.9  /  3.9 ,45.2%,8.2%,319,0.1%,"363,978"
3,Sage,sentinel,Overall,Split,,0.91, 11.7  /  12.8  /  5.1 ,44.9%,10.2%,250,0.1%,"451,846"
4,Jett,duelist,Overall,Split,,1.02, 13.5  /  13.2  /  3.3 ,43.1%,8.9%,306,0.1%,"393,796"
5,Killjoy,sentinel,Overall,Split,,1.01, 14  /  13.9  /  3.7 ,41.7%,4.5%,352,0.1%,"197,900"
6,Omen,controller,Overall,Split,,1.01, 14.3  /  14.1  /  4.4 ,40.8%,5.4%,333,0.1%,"238,073"
7,Phoenix,duelist,Overall,Split,,0.98, 13.5  /  13.9  /  3.7 ,40.1%,6.0%,343,0.1%,"267,627"
8,Neon,duelist,Overall,Split,,0.98, 13.7  /  14  /  3.5 ,39.8%,4.8%,365,0.1%,"213,042"
9,Fade,initiator,Overall,Split,,0.95, 13.7  /  14.4  /  4.7 ,39.3%,4.4%,353,0.1%,"196,311"
10,Yoru,duelist,Overall,Split,,0.99, 14  /  14.1  /  3.7 ,38.8%,4.5%,363,0.1%,"199,345"
11,Skye,initiator,Overall,Split,,0.99, 14.6  /  14.7  /  5.4 ,38.3%,3.6%,402,0.1%,"159,352"
12,Cypher,sentinel,Overall,Split,,1.01, 14.8  /  14.6  /  4.2 ,38.2%,3.7%,386,0.1%,"165,791"
13,Viper,controller,Overall,Split,,0.99, 14.6  /  14.8  /  4.2 ,37.5%,3.7%,400,0.1%,"163,386"
14,Sova,initiator,Overall,Split,,0.91, 13.4  /  14.7  /  4.1 ,36.9%,4.8%,363,0.1%,"213,366"
15,Chamber,sentinel,Overall,Split,,1.03, 15.4  /  14.9  /  3.5 ,36.0%,3.4%,450,0.1%,"151,996"
16,KAY/O,initiator,Overall,Split,,0.94, 14.3  /  15.2  /  5.6 ,35.9%,3.6%,401,0.1%,"158,170"
17,Brimstone,controller,Overall,Split,,0.93, 14.5  /  15.6  /  5.1 ,35.2%,4.0%,430,0.1%,"176,560"
18,Breach,initiator,Overall,Split,,0.98, 16.2  /  16.6  /  4.7 ,31.8%,2.5%,564,0.1%,"108,960"
19,Astra,controller,Overall,Split,,1.08, 18.4  /  17  /  4.6 ,30.2%,1.9%,729,0.0%,"84,865"
20,Harbor,controller,Overall,Split,,0.98, 17  /  17.3  /  4.4 ,28.1%,1.9%,710,0.0%,"82,253"
1,Reyna,duelist,Overall,Ascent,,1.12, 14.6  /  13.1  /  3.7 ,45.4%,10.0%,311,0.1%,"442,694"
2,Raze,duelist,Overall,Ascent,,1.05, 13.8  /  13.1  /  3.9 ,44.0%,7.4%,331,0.1%,"325,318"
3,Sage,sentinel,Overall,Ascent,,0.9, 11.8  /  13.1  /  5 ,43.8%,9.4%,259,0.1%,"414,828"
4,Jett,duelist,Overall,Ascent,,1.04, 13.9  /  13.4  /  3.3 ,43.5%,9.4%,308,0.1%,"413,891"
5,Killjoy,sentinel,Overall,Ascent,,1.02, 13.9  /  13.6  /  3.7 ,43.2%,5.3%,331,0.1%,"235,996"
6,Omen,controller,Overall,Ascent,,1.0, 14.4  /  14.4  /  4.7 ,40.7%,5.4%,338,0.1%,"238,846"
7,Phoenix,duelist,Overall,Ascent,,0.98, 13.9  /  14.2  /  3.8 ,40.0%,6.1%,353,0.1%,"268,054"
8,Sova,initiator,Overall,Ascent,,0.95, 13.7  /  14.3  /  4.4 ,39.9%,6.0%,336,0.1%,"266,180"
9,Neon,duelist,Overall,Ascent,,0.98, 14  /  14.3  /  3.5 ,39.3%,4.7%,382,0.1%,"207,091"
10,Fade,initiator,Overall,Ascent,,0.95, 13.9  /  14.6  /  4.8 ,39.3%,4.5%,362,0.1%,"197,875"
11,Yoru,duelist,Overall,Ascent,,0.98, 14.3  /  14.6  /  3.7 ,37.9%,4.4%,377,0.1%,"194,510"
12,Skye,initiator,Overall,Ascent,,0.99, 15.3  /  15.5  /  5.3 ,36.2%,3.3%,454,0.1%,"146,228"
13,Viper,controller,Overall,Ascent,,1.0, 15.4  /  15.5  /  4.3 ,36.1%,3.4%,455,0.1%,"149,168"
14,Chamber,sentinel,Overall,Ascent,,1.03, 15.7  /  15.2  /  3.4 ,36.1%,3.6%,460,0.1%,"157,621"
15,Cypher,sentinel,Overall,Ascent,,1.0, 15.3  /  15.4  /  4.2 ,36.0%,3.4%,433,0.1%,"148,495"
16,KAY/O,initiator,Overall,Ascent,,0.95, 14.8  /  15.6  /  5.6 ,35.9%,3.6%,415,0.1%,"159,041"
17,Brimstone,controller,Overall,Ascent,,0.93, 14.8  /  15.8  /  5.2 ,35.7%,4.2%,435,0.1%,"183,915"
18,Astra,controller,Overall,Ascent,,1.08, 18.9  /  17.6  /  4.8 ,30.3%,2.0%,772,0.0%,"86,249"
19,Breach,initiator,Overall,Ascent,,0.98, 17.1  /  17.5  /  4.6 ,30.1%,2.3%,661,0.0%,"101,454"
20,Harbor,controller,Overall,Ascent,,0.98, 17.8  /  18.1  /  4.5 ,27.8%,1.9%,785,0.0%,"82,860"
1,Reyna,duelist,Overall,Haven,,1.13, 14.6  /  12.9  /  3.6 ,45.8%,10.2%,308,0.1%,"440,458"
2,Sage,sentinel,Overall,Haven,,0.9, 11.7  /  13  /  4.8 ,44.1%,9.7%,255,0.1%,"420,448"
3,Raze,duelist,Overall,Haven,,1.05, 13.7  /  13.1  /  3.7 ,43.8%,7.1%,330,0.1%,"307,669"
4,Jett,duelist,Overall,Haven,,1.04, 13.8  /  13.2  /  3.2 ,43.7%,9.3%,309,0.1%,"403,183"
5,Omen,controller,Overall,Haven,,1.01, 14.2  /  14.1  /  4.4 ,41.4%,5.8%,324,0.1%,"250,726"
6,Killjoy,sentinel,Overall,Haven,,1.0, 14.2  /  14.3  /  3.6 ,40.8%,4.3%,361,0.1%,"187,445"
7,Phoenix,duelist,Overall,Haven,,0.99, 13.8  /  14  /  3.6 ,40.3%,6.2%,347,0.1%,"269,068"
8,Neon,duelist,Overall,Haven,,0.99, 13.9  /  14.1  /  3.4 ,39.8%,4.9%,372,0.1%,"210,817"
9,Fade,initiator,Overall,Haven,,0.95, 13.9  /  14.6  /  4.7 ,39.2%,4.4%,360,0.1%,"192,265"
10,Sova,initiator,Overall,Haven,,0.93, 13.5  /  14.5  /  4.1 ,38.6%,5.6%,342,0.1%,"240,230"
11,Yoru,duelist,Overall,Haven,,0.99, 14.1  /  14.3  /  3.5 ,38.6%,4.6%,366,0.1%,"198,365"
12,Skye,initiator,Overall,Haven,,0.99, 14.9  /  15.1  /  5.1 ,37.4%,3.5%,422,0.1%,"152,254"
13,Chamber,sentinel,Overall,Haven,,1.04, 15.3  /  14.8  /  3.3 ,36.8%,3.7%,432,0.1%,"160,329"
14,Cypher,sentinel,Overall,Haven,,1.01, 15.2  /  15.2  /  4.1 ,36.6%,3.4%,421,0.1%,"148,360"
15,Viper,controller,Overall,Haven,,0.99, 15.2  /  15.4  /  4.1 ,35.7%,3.3%,452,0.1%,"142,658"
16,Brimstone,controller,Overall,Haven,,0.93, 14.6  /  15.7  /  4.9 ,35.2%,4.2%,431,0.1%,"179,587"
17,KAY/O,initiator,Overall,Haven,,0.94, 14.6  /  15.5  /  5.5 ,35.1%,3.5%,422,0.1%,"151,309"
18,Breach,initiator,Overall,Haven,,0.98, 16.5  /  16.8  /  4.6 ,31.8%,2.5%,577,0.1%,"107,128"
19,Astra,controller,Overall,Haven,,1.08, 18.8  /  17.5  /  4.5 ,28.8%,1.9%,788,0.0%,"81,344"
20,Harbor,controller,Overall,Haven,,0.98, 17.5  /  17.8  /  4.3 ,27.8%,1.9%,759,0.0%,"80,720"
1,Reyna,duelist,Overall,Icebox,,1.13, 14.6  /  12.9  /  3.6 ,45.8%,10.2%,310,0.1%,"437,008"
2,Sage,sentinel,Overall,Icebox,,0.9, 11.7  /  13  /  4.8 ,44.4%,10.1%,252,0.1%,"433,229"
3,Jett,duelist,Overall,Icebox,,1.05, 13.8  /  13.2  /  3.3 ,44.1%,9.6%,310,0.1%,"410,571"
4,Raze,duelist,Overall,Icebox,,1.04, 13.6  /  13.1  /  3.6 ,43.5%,7.3%,326,0.1%,"311,682"
5,Viper,controller,Overall,Icebox,,1.01, 14.2  /  14  /  4.2 ,41.8%,5.3%,330,0.1%,"228,854"
6,Killjoy,sentinel,Overall,Icebox,,0.99, 14.2  /  14.3  /  3.7 ,40.7%,4.2%,370,0.1%,"179,817"
7,Neon,duelist,Overall,Icebox,,0.99, 13.9  /  14  /  3.4 ,40.4%,5.0%,370,0.1%,"213,071"
8,Sova,initiator,Overall,Icebox,,0.93, 13.3  /  14.2  /  4.1 ,39.8%,6.2%,321,0.1%,"266,440"
9,Omen,controller,Overall,Icebox,,1.0, 14.5  /  14.4  /  3.9 ,39.1%,4.8%,360,0.1%,"206,436"
10,Phoenix,duelist,Overall,Icebox,,0.96, 13.6  /  14.1  /  3.5 ,38.9%,5.8%,352,0.1%,"247,422"
11,Yoru,duelist,Overall,Icebox,,0.99, 14  /  14.2  /  3.5 ,38.9%,4.7%,363,0.1%,"200,585"
12,Fade,initiator,Overall,Icebox,,0.95, 13.8  /  14.6  /  4.7 ,38.6%,4.3%,366,0.1%,"185,829"
13,Chamber,sentinel,Overall,Icebox,,1.05, 15.5  /  14.8  /  3.3 ,37.2%,3.8%,436,0.1%,"161,248"
14,KAY/O,initiator,Overall,Icebox,,0.96, 14.6  /  15.2  /  5.5 ,36.0%,3.6%,410,0.1%,"156,160"
15,Skye,initiator,Overall,Icebox,,0.98, 15.2  /  15.5  /  4.9 ,35.5%,3.2%,466,0.1%,"135,812"
16,Cypher,sentinel,Overall,Icebox,,0.99, 15.8  /  15.9  /  4.1 ,33.5%,2.8%,503,0.1%,"120,576"
17,Brimstone,controller,Overall,Icebox,,0.92, 15  /  16.4  /  4.5 ,31.6%,3.5%,505,0.1%,"149,513"
18,Breach,initiator,Overall,Icebox,,0.98, 17.3  /  17.6  /  4.4 ,28.6%,2.1%,730,0.0%,"90,713"
19,Harbor,controller,Overall,Icebox,,0.99, 17.5  /  17.6  /  4.4 ,28.3%,1.9%,736,0.0%,"81,314"
20,Astra,controller,Overall,Icebox,,1.08, 20  /  18.5  /  4.4 ,25.2%,1.6%,"1,136",0.0%,"67,876"
1,Reyna,duelist,Overall,Breeze,,1.06, 13.3  /  12.6  /  3.1 ,33.8%,7.4%,"1,091",0.0%,"127,045"
2,Jett,duelist,Overall,Breeze,,0.99, 13  /  13.2  /  3.1 ,32.3%,7.9%,"1,111",0.0%,"136,023"
3,Raze,duelist,Overall,Breeze,,1.02, 13.7  /  13.4  /  3.1 ,31.0%,6.4%,"1,252",0.0%,"110,098"
4,Neon,duelist,Overall,Breeze,,1.04, 14.5  /  14  /  3.2 ,30.8%,5.8%,"1,372",0.0%,"99,615"
5,Sage,sentinel,Overall,Breeze,,0.93, 13.2  /  14.2  /  3.5 ,28.7%,7.0%,"1,286",0.0%,"120,663"
6,Yoru,duelist,Overall,Breeze,,1.0, 15.4  /  15.4  /  3.5 ,26.6%,5.0%,"1,655",0.0%,"86,531"
7,Viper,controller,Overall,Breeze,,1.04, 16.6  /  15.9  /  3.8 ,26.3%,4.7%,"1,792",0.0%,"81,554"
8,Chamber,sentinel,Overall,Breeze,,1.02, 16.7  /  16.3  /  3.6 ,25.3%,4.7%,"1,936",0.0%,"80,378"
9,Phoenix,duelist,Overall,Breeze,,0.94, 15.2  /  16.2  /  3.7 ,24.6%,5.9%,"1,815",0.0%,"101,024"
10,Skye,initiator,Overall,Breeze,,1.04, 17.8  /  17.1  /  4.1 ,23.8%,4.2%,"2,343",0.0%,"71,425"
11,Fade,initiator,Overall,Breeze,,1.02, 17.2  /  16.8  /  4 ,23.6%,4.5%,"2,253",0.0%,"77,000"
12,Sova,initiator,Overall,Breeze,,0.93, 15.7  /  16.9  /  3.9 ,23.0%,5.5%,"1,948",0.0%,"95,309"
13,KAY/O,initiator,Overall,Breeze,,1.01, 17.4  /  17.3  /  4 ,22.7%,4.2%,"2,243",0.0%,"71,499"
14,Omen,controller,Overall,Breeze,,1.0, 17.2  /  17.2  /  3.9 ,22.7%,4.5%,"2,277",0.0%,"76,881"
15,Killjoy,sentinel,Overall,Breeze,,1.02, 17.7  /  17.4  /  3.9 ,22.6%,4.1%,"2,477",0.0%,"71,047"
16,Cypher,sentinel,Overall,Breeze,,1.0, 18.5  /  18.5  /  4.2 ,20.1%,3.8%,"2,744",0.0%,"65,575"
17,Harbor,controller,Overall,Breeze,,1.02, 19.4  /  19  /  4.2 ,19.5%,3.2%,"3,313",0.0%,"55,688"
18,Astra,controller,Overall,Breeze,,1.08, 21.6  /  20  /  4.5 ,17.9%,3.0%,"4,992",0.0%,"51,661"
19,Brimstone,controller,Overall,Breeze,,0.92, 17.6  /  19.2  /  4.4 ,17.9%,4.7%,"3,146",0.0%,"81,189"
20,Breach,initiator,Overall,Breeze,,1.0, 19.4  /  19.5  /  4.3 ,17.7%,3.5%,"3,551",0.0%,"60,013"
1,Raze,duelist,Overall,Bind,,1.03, 12.8  /  12.4  /  3 ,34.1%,7.3%,995,0.0%,"126,870"
2,Reyna,duelist,Overall,Bind,,1.06, 13.2  /  12.4  /  3.1 ,33.8%,7.4%,"1,041",0.0%,"130,236"
3,Jett,duelist,Overall,Bind,,0.97, 13.1  /  13.5  /  3.2 ,31.0%,7.6%,"1,136",0.0%,"132,169"
